频道名,地址,来源,图标
蓬莱综合,http://150.138.8.143/00/SNM/CHANNEL00001088/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/烟台蓬莱.png
栖霞综合,http://150.138.8.143/00/SNM/CHANNEL00001055/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/烟台栖霞.png
海阳综合,http://150.138.8.143/00/SNM/CHANNEL00001091/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/烟台海阳.png
海阳综艺,http://150.138.8.143/00/SNM/CHANNEL00001092/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/烟台海阳.png
长岛综合,http://150.138.8.143/00/SNM/CHANNEL00001090/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/烟台长岛.png
牟平综合,http://150.138.8.143/00/SNM/CHANNEL00001076/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/烟台牟平.png
牟平生活,http://150.138.8.143/00/SNM/CHANNEL00001077/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/烟台牟平.png
青州综合,http://150.138.8.143/00/SNM/CHANNEL00001042/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/潍坊青州.png
青州文化旅游,http://150.138.8.143/00/SNM/CHANNEL00001057/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/潍坊青州.png
诸城综合,http://150.138.8.143/00/SNM/CHANNEL00001004/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/潍坊诸城.png
寿光综合,http://150.138.8.143/00/SNM/CHANNEL00001000/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/潍坊寿光.png
寿光综合,http://150.138.8.143/00/SNM/CHANNEL00000702/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/潍坊寿光.png
寿光蔬菜,http://150.138.8.143/00/SNM/CHANNEL00001045/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/潍坊寿光.png
安丘综合,http://150.138.8.143/00/SNM/CHANNEL00001015/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/潍坊安丘.png
高密综合,http://150.138.8.143/00/SNM/CHANNEL00001089/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/潍坊高密.png
