频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,失败原因
å¤©æ´¥å«è§†,http://120.211.62.180:8000/hls/36/index.m3u8,网络源,å¤©æ´¥å«è§†.png,20.002,未分组,,,,无音频,timeout
CCTV-14,http://120.211.62.180:8000/hls/14/index.m3u8,网络源,CCTV14.png,20.002,未分组,,,,无音频,timeout
CCTV-10,http://182.150.23.74:808/hls/10/index.m3u8,网络源,CCTV10.png,20.002,未分组,,,,无音频,timeout
CCTV-16,http://183.11.239.36:808/hls/169/index.m3u8,网络源,CCTV16.png,20.002,未分组,,,,无音频,timeout
å››å·å«è§†,http://183.11.239.36:808/hls/50/index.m3u8,网络源,å››å·å«è§†.png,20.002,未分组,,,,无音频,timeout
å¤§æ¹¾åŒºå«è§†,http://183.11.239.36:808/hls/132/index.m3u8,网络源,å¤§æ¹¾åŒºå«è§†.png,20.002,未分组,,,,无音频,timeout
CCTV-5+,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8,网络源,CCTV5+.png,20.003,未分组,,,,无音频,timeout
å¹¿ä¸œå«è§†,http://183.11.239.36:808/hls/80/index.m3u8,网络源,å¹¿ä¸œå«è§†.png,20.002,未分组,,,,无音频,timeout
å±±ä¸œå«è§†,http://61.136.172.236:9901/tsfile/live/0131_1.m3u8,网络源,å±±ä¸œå«è§†.png,20.002,未分组,,,,无音频,timeout
CCTV-6,http://182.150.23.74:808/hls/6/index.m3u8,网络源,CCTV6.png,20.002,未分组,,,,无音频,timeout
æ·±åœ³å«è§†,http://61.136.172.236:9901/tsfile/live/0126_1.m3u8,网络源,æ·±åœ³å«è§†.png,20.001,未分组,,,,无音频,timeout
CCTV-4,http://vip1.xinketongxun.fun:8082/tsfile/live/1026_1.m3u8,网络源,CCTV4.png,20.002,未分组,,,,无音频,timeout
æ²³å—å«è§†,http://61.136.172.236:9901/tsfile/live/0139_1.m3u8,网络源,æ²³å—å«è§†.png,20.003,未分组,,,,无音频,timeout
é»‘é¾™æ±Ÿå«è§†,http://58.57.40.22:9901/tsfile/live/1040_1.m3u8,网络源,é»‘é¾™æ±Ÿå«è§†.png,20.001,未分组,,,,无音频,timeout
CCTV-11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8,网络源,CCTV11.png,20.002,未分组,,,,无音频,timeout
å‰æ—å«è§†,http://183.11.239.36:808/hls/10/index.m3u8,网络源,å‰æ—å«è§†.png,20.002,未分组,,,,无音频,timeout
è¾½å®å«è§†,http://61.136.172.236:9901/tsfile/live/0121_1.m3u8,网络源,è¾½å®å«è§†.png,20.001,未分组,,,,无音频,timeout
æ²³åŒ—å«è§†,http://61.136.172.236:9901/tsfile/live/0117_1.m3u8,网络源,æ²³åŒ—å«è§†.png,20.002,未分组,,,,无音频,timeout
é£äº‘å‰§åœº,http://120.238.94.10:9901/tsfile/live/1090_1.m3u8,网络源,é£äº‘å‰§åœº.png,20.002,未分组,,,,无音频,timeout
é‡åº†å«è§†,http://61.136.172.236:9901/tsfile/live/0142_1.m3u8,网络源,é‡åº†å«è§†.png,20.001,未分组,,,,无音频,timeout
è¾½å®å«è§†,http://120.211.62.180:8000/hls/37/index.m3u8,网络源,è¾½å®å«è§†.png,20.002,未分组,,,,无音频,timeout
æ²³åŒ—å«è§†,http://183.11.239.36:808/hls/54/index.m3u8,网络源,æ²³åŒ—å«è§†.png,20.001,未分组,,,,无音频,timeout
å®‰å¾½å«è§†,http://120.211.62.180:8000/hls/33/index.m3u8,网络源,å®‰å¾½å«è§†.png,20.002,未分组,,,,无音频,timeout
CCTV-5+,http://182.150.23.74:808/hls/16/index.m3u8,网络源,CCTV5+.png,20.002,未分组,,,,无音频,timeout
CCTV-13,http://120.211.62.180:8000/hls/13/index.m3u8,网络源,CCTV13.png,20.002,未分组,,,,无音频,timeout
æ±Ÿè‹å«è§†,http://183.11.239.36:808/hls/38/index.m3u8,网络源,æ±Ÿè‹å«è§†.png,20.002,未分组,,,,无音频,timeout
åŒ—äº¬å«è§†,http://182.150.23.74:808/hls/17/index.m3u8,网络源,åŒ—äº¬å«è§†.png,20.002,未分组,,,,无音频,timeout
å±±ä¸œå«è§†,http://182.150.23.74:808/hls/23/index.m3u8,网络源,å±±ä¸œå«è§†.png,20.002,未分组,,,,无音频,timeout
æ·±åœ³å«è§†,http://sun135790.x3322.net:9901/tsfile/live/16035_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,æ·±åœ³å«è§†.png,20.002,未分组,,,,无音频,timeout
CCTV-15,http://183.11.239.36:808/hls/102/index.m3u8,网络源,CCTV15.png,20.002,未分组,,,,无音频,timeout
åŒ—äº¬å«è§†,http://183.11.239.36:808/hls/41/index.m3u8,网络源,åŒ—äº¬å«è§†.png,20.001,未分组,,,,无音频,timeout
CCTV-9,http://120.211.62.180:8000/hls/9/index.m3u8,网络源,CCTV9.png,20.003,未分组,,,,无音频,timeout
æµ·å—å«è§†,http://183.11.239.36:808/hls/124/index.m3u8,网络源,æµ·å—å«è§†.png,20.002,未分组,,,,无音频,timeout
æ±Ÿè‹å«è§†,http://61.136.172.236:9901/tsfile/live/0127_1.m3u8,网络源,æ±Ÿè‹å«è§†.png,20.005,未分组,,,,无音频,timeout
CCTV-10,http://61.136.172.236:9901/tsfile/live/0010_1.m3u8,网络源,CCTV10.png,20.002,未分组,,,,无音频,timeout
é‡åº†å«è§†,http://183.11.239.36:808/hls/53/index.m3u8,网络源,é‡åº†å«è§†.png,20.005,未分组,,,,无音频,timeout
CCTV-11,http://120.211.62.180:8000/hls/11/index.m3u8,网络源,CCTV11.png,20.004,未分组,,,,无音频,timeout
CCTV-7,http://keke.kandiantv.cn/migu720p.php?id=673168121,网络源,CCTV7.png,20.003,未分组,,,,无音频,timeout
CCTV-8,http://183.11.239.36:808/hls/96/index.m3u8,网络源,CCTV8.png,20.002,未分组,,,,无音频,timeout
å¹¿ä¸œç æ±Ÿ,http://183.11.239.36:808/hls/83/index.m3u8,网络源,å¹¿ä¸œç æ±Ÿ.png,20.002,未分组,,,,无音频,timeout
å®‰å¾½å«è§†,http://61.136.172.236:9901/tsfile/live/0130_1.m3u8,网络源,å®‰å¾½å«è§†.png,20.002,未分组,,,,无音频,timeout
