原始名,标准名,拟匹配频道名,分组,来源,输出顺序,是否已维护
齐河综合,齐河综合,齐河综合,待标准化,济南电信单播,未排序,否
汽摩,汽摩,汽摩,待标准化,济南电信单播,未排序,否
青岛QTV-1,青岛QTV-1,青岛QTV-1,待标准化,济南电信单播,未排序,否
青岛QTV-2,青岛QTV-2,青岛QTV-2,待标准化,济南电信单播,未排序,否
青岛QTV-3,青岛QTV-3,青岛QTV-3,待标准化,济南电信单播,未排序,否
青岛QTV-4,青岛QTV-4,青岛QTV-4,待标准化,济南电信单播,未排序,否
青岛QTV-5,青岛QTV-5,青岛QTV-5,待标准化,济南电信单播,未排序,否
青州文旅,青州文旅,青州文旅,待标准化,济南电信单播,未排序,否
青州综合,青州综合,青州综合,待标准化,济南电信单播,未排序,否
求索纪录,求索纪录,求索纪录,待标准化,济南电信单播,未排序,否
曲阜新闻,曲阜新闻,曲阜新闻,待标准化,济南电信单播,未排序,否
任城生活,任城生活,任城生活,待标准化,济南电信单播,未排序,否
任城综合,任城综合,任城综合,待标准化,济南电信单播,未排序,否
日照公共,日照公共,日照公共,待标准化,济南电信单播,未排序,否
日照科教,日照科教,日照科教,待标准化,济南电信单播,未排序,否
日照新闻,日照新闻,日照新闻,待标准化,济南电信单播,未排序,否
荣成综合,荣成综合,荣成综合,待标准化,济南电信单播,未排序,否
乳山综合,乳山综合,乳山综合,待标准化,济南电信单播,未排序,否
三沙卫视,三沙卫视,三沙卫视,待标准化,济南电信单播,未排序,否
厦门卫视,厦门卫视,厦门卫视,待标准化,济南电信单播,未排序,否
山东购物,山东购物,山东购物,待标准化,济南电信单播,未排序,否
山东交通广播,山东交通广播,山东交通广播,待标准化,济南电信单播,未排序,否
山东教育卫视,山东教育卫视,山东教育卫视,待标准化,济南电信单播,未排序,否
山东经济广播,山东经济广播,山东经济广播,待标准化,济南电信单播,未排序,否
山西卫视,山西卫视,山西卫视,待标准化,济南电信单播,未排序,否
陕西卫视,陕西卫视,陕西卫视,待标准化,济南电信单播,未排序,否
商河综合,商河综合,商河综合,待标准化,济南电信单播,未排序,否
莘县综合,莘县综合,莘县综合,待标准化,济南电信单播,未排序,否
深圳卫视-4K,深圳卫视-4K,深圳卫视-4K,待标准化,济南电信单播,未排序,否
寿光蔬菜,寿光蔬菜,寿光蔬菜,待标准化,济南电信单播,未排序,否
寿光综合,寿光综合,寿光综合,待标准化,济南电信单播,未排序,否
书画,书画,书画,待标准化,济南电信单播,未排序,否
四海钓鱼,四海钓鱼,四海钓鱼,待标准化,济南电信单播,未排序,否
泰山综合,泰山综合,泰山综合,待标准化,济南电信单播,未排序,否
威海生活,威海生活,威海生活,待标准化,济南电信单播,未排序,否
威海新闻,威海新闻,威海新闻,待标准化,济南电信单播,未排序,否
潍坊高新,潍坊高新,潍坊高新,待标准化,济南电信单播,未排序,否
潍坊生活,潍坊生活,潍坊生活,待标准化,济南电信单播,未排序,否
潍坊文旅,潍坊文旅,潍坊文旅,待标准化,济南电信单播,未排序,否
潍坊新闻,潍坊新闻,潍坊新闻,待标准化,济南电信单播,未排序,否
潍坊影视,潍坊影视,潍坊影视,待标准化,济南电信单播,未排序,否
文物宝库,文物宝库,文物宝库,待标准化,济南电信单播,未排序,否
汶上综合,汶上综合,汶上综合,待标准化,济南电信单播,未排序,否
无棣综合,无棣综合,无棣综合,待标准化,济南电信单播,未排序,否
武城综合,武城综合,武城综合,待标准化,济南电信单播,未排序,否
武城综艺,武城综艺,武城综艺,待标准化,济南电信单播,未排序,否
武术世界,武术世界,武术世界,待标准化,济南电信单播,未排序,否
夏津公共,夏津公共,夏津公共,待标准化,济南电信单播,未排序,否
夏津综合,夏津综合,夏津综合,待标准化,济南电信单播,未排序,否
先锋乒羽,先锋乒羽,先锋乒羽,待标准化,济南电信单播,未排序,否
