标准频道名,匹配状态,频道名,地址,来源,检测时间,图标,分组
CCTV10,未匹配-跳过,CCTV10,http://123.235.73.237:9901/tsfile/live/0002_11.m3u8?key=txiptv,青岛联通,0,,央视频道
CCTV10,未匹配-跳过,CCTV10,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226169/1.m3u8,上海移动,0,,央视频道
CCTV10,未匹配-跳过,CCTV10,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225743/1.m3u8,上海移动,0,,央视频道
CCTV11,未匹配-跳过,CCTV11,http://150.138.8.143/00/SNM/CHANNEL00000344/index.m3u8,电信单播,0,,央视频道
CCTV11,未匹配-跳过,CCTV11,http://192.168.31.2:4022/rtp/239.21.2.2:5002,电信组播,0,,央视频道
CCTV11,未匹配-跳过,CCTV11,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch11122400354496191158.rsc/70045_Uni.sdp,济南联通,0,,央视频道
CCTV11,未匹配-跳过,CCTV11,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000344/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道
CCTV11,未匹配-跳过,CCTV11,http://123.235.73.237:9901/tsfile/live/0002_12.m3u8?key=txiptv,青岛联通,0,,央视频道
CCTV11,未匹配-跳过,CCTV11,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226145/1.m3u8,上海移动,0,,央视频道
CCTV11,未匹配-跳过,CCTV11,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226101/1.m3u8,上海移动,0,,央视频道
CCTV12,未匹配-跳过,CCTV12,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8,电信单播,0,,央视频道
CCTV12,未匹配-跳过,CCTV12,http://192.168.31.2:4022/rtp/239.21.1.156:5002,电信组播,0,,央视频道
CCTV12,未匹配-跳过,CCTV12,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15111015571407754299.rsc/70056_Uni.sdp,济南联通,0,,央视频道
CCTV12,未匹配-跳过,CCTV12,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000322/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道
CCTV12,未匹配-跳过,CCTV12,http://123.235.73.237:9901/tsfile/live/0002_13.m3u8?key=txiptv,青岛联通,0,,央视频道
CCTV12,未匹配-跳过,CCTV12,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226126/1.m3u8,上海移动,0,,央视频道
CCTV12,未匹配-跳过,CCTV12,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226103/1.m3u8,上海移动,0,,央视频道
CCTV13,未匹配-跳过,CCTV13,http://150.138.8.143/00/SNM/CHANNEL00000345/index.m3u8,电信单播,0,,央视频道
CCTV13,未匹配-跳过,CCTV13,http://192.168.31.2:4022/rtp/239.21.2.3:5002,电信组播,0,,央视频道
CCTV13,未匹配-跳过,CCTV13,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15050914361303395989.rsc/69923_Uni.sdp,济南联通,0,,央视频道
CCTV13,未匹配-跳过,CCTV13,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000345/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道
CCTV13,未匹配-跳过,CCTV13,http://123.235.73.237:9901/tsfile/live/0002_14.m3u8?key=txiptv,青岛联通,0,,央视频道
CCTV13,未匹配-跳过,CCTV13,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226128/1.m3u8,上海移动,0,,央视频道
CCTV13,未匹配-跳过,CCTV13,http://123.235.73.237:9901/tsfile/live/0002_48.m3u8?key=txiptv,青岛联通,0,,央视频道
CCTV14,未匹配-跳过,CCTV14,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8,电信单播,0,,央视频道
CCTV14,未匹配-跳过,CCTV14,http://192.168.31.2:4022/rtp/239.21.1.157:5002,电信组播,0,,央视频道
CCTV14,未匹配-跳过,CCTV14,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15111016003483433803.rsc/69975_Uni.sdp,济南联通,0,,央视频道
CCTV14,未匹配-跳过,CCTV14,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000323/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道
CCTV14,未匹配-跳过,CCTV14,http://123.235.73.237:9901/tsfile/live/0002_15.m3u8?key=txiptv,青岛联通,0,,央视频道
