频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度
[BD]voice of america,https://stream1.freetv.fun/voice-of-america-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174407806332_73.png,2.472,未分组,h264,1920x1080,25.0,有音频,0.5781
[HD]cctv-14,https://stream1.freetv.fun/cctv-14-2.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001539178535_27.png,3.787,未分组,h264,1280x720,25.0,有音频,0.4062
[BD]bbc world news[geo-blocked],https://stream1.freetv.fun/bbc-world-news-4.m3u8,网络源,https://epg.pw/media/img/logo/1_189.jpg,2.414,未分组,h264,1920x1080,29.97002997002997,有音频,0.5938
[BD]panik tv[geo-blocked],https://stream1.freetv.fun/panik-tv-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/02/16/20170216061058520639_81.png,1.503,未分组,h264,1280x720,25.0,有音频,0.3906
[BD]al jazeera mubasher 2,https://stream1.freetv.fun/al-jazeera-mubasher-2-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174154957657_95.png,1.499,未分组,h264,1280x720,25.0,有音频,0.4531
[BD]bein sports xtra,https://stream1.freetv.fun/bein-sports-xtra-1.m3u8,网络源,https://epg.pw/media/images/channel/2024/06/10/large/20240610200314603206_72.png,1.333,未分组,h264,1920x1080,29.97002997002997,有音频,0.4688
[BD]bravo tv,https://stream1.freetv.fun/bravo-tv-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/02/12/large/20230212225528892223_79.png,7.861,未分组,h264,426x240,30.0,有音频,0.4219
[SD]in the kitchen,https://stream1.freetv.fun/in-the-kitchen-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/02/13/20150213031809681089_50.jpg,1.485,未分组,h264,640x360,30.0,有音频,0.4531
æ±Ÿè‹-æ— é”¡é¼‹å¤´æ¸šèµæ¨±é˜,https://gcalic.v.myalicdn.com/gc/pshdxg01_1/index.m3u8?contentid=2820180516001,网络源,,3.446,未分组,h264,1920x1080,25.0,有音频,0.9219
[BD]24/7 canal de noticias,https://stream1.freetv.fun/24-7-canal-de-noticias-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506173724046984_73.png,4.645,未分组,h264,640x360,25.0,有音频,0.7188
[SD]auto motor sport,https://stream1.freetv.fun/auto-motor-sport-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/08/09/20170809042132191729_22.jpg,2.043,未分组,h264,426x240,30.0,有音频,0.4844
[BD]al arabiya al hadath,https://stream1.freetv.fun/al-arabiya-al-hadath-1.m3u8,网络源,https://epg.pw/media/img/logo/AL_Arabiya.PNG,1.497,未分组,h264,1280x720,25.0,有音频,0.625
[BD]amc thrillers =,https://stream1.freetv.fun/amc-thrillers-3.ctv,网络源,https://epg.pw/media/images/channel/2022/04/01/large/20220401234506250664_19.png,1.319,未分组,h264,1920x1080,29.97002997002997,有音频,0.5312
[HD]hallo anime,https://stream1.freetv.fun/hallo-anime-1.m3u8,网络源,https://epg.pw/media/images/channel/2024/07/28/large/20240728174050565690_92.jpg,1.520,未分组,h264,1280x720,25.0,有音频,0.7031
[HD]a e,https://stream1.freetv.fun/a-e-4.ctv,网络源,https://epg.pw/media/images/channel/2025/01/30/large/20250130005928094199_61.png,1.517,未分组,h264,1280x720,25.0,有音频,0.3125
[SD]4more uk =,https://stream1.freetv.fun/4more-uk-3.ctv,网络源,https://epg.pw/media/,1.465,未分组,mpeg2video,704x576,25.0,有音频,0.4219
[HD]asianet plus,https://stream1.freetv.fun/asianet-plus-1.m3u8,网络源,https://epg.pw/media/img/logo/Asia_net.PNG,1.926,未分组,h264,1280x720,25.0,有音频,0.6406
[SD]bravo plus 1,https://stream1.freetv.fun/bravo-plus-1-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/02/12/large/20230212225528892223_79.png,6.069,未分组,h264,640x360,25.0,有音频,0.4688
äº‘å—ä¸½æ±Ÿå°è±¡å®æ™¯,https://gcalic.v.myalicdn.com/gc/hkylxs01_1/index.m3u8,网络源,,3.033,未分组,h264,1920x1080,25.0,有音频,0.4375
[BD]bibel tv impuls,https://stream1.freetv.fun/bibel-tv-impuls-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506173736374467_66.png,1.506,未分组,h264,1280x720,25.0,有音频,0.4531
[BD]cctv12hd,https://stream1.freetv.fun/cctv12hd-1.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001556307504_11.png,0.769,未分组,h264,1920x1080,25.0,有音频,0.0
[HD]game plus (720p),https://stream1.freetv.fun/game-plus-2.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,0.772,未分组,h264,1280x720,29.97002997002997,有音频,0.4219
[BD]bbc world news *m[geo-blocked],https://stream1.freetv.fun/bbc-world-news--m-1.ctv,网络源,https://epg.pw/media/img/logo/1_189.jpg,2.689,未分组,h264,1920x1080,25.0,有音频,0.3281
[BD]kanal hayat,https://stream1.freetv.fun/kanal-hayat-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/07/17/20150717055453263471_21.jpg,1.559,未分组,h264,1280x720,25.0,有音频,0.7969
[BD]arena sport 4,https://stream1.freetv.fun/arena-sport-4-1.ctv,网络源,https://epg.pw/media/,2.717,未分组,h264,1920x1080,25.0,有音频,0.25
